i,j,v
481656,419388,30
2211,253127,50
469501,355836,10
16565,461286,110
435160,511655,20
8447,360601,10
419790,394930,10
312305,310292,69
324525,330844,25
310145,236971,22
19328,517988,10
420880,379089,50
442708,372498,15
313582,310124,100
408746,784830,8
505268,12048,5
284679,3,69
373680,3307,30
399223,339484,98
16636,403404,50
658316,321969,37
13474,309043,50
291771,329134,62
311387,540118,6
296687,15776,50
466111,418316,21
513315,475955,11
9019,1110,300
326040,337090,500
404373,411061,1600
685084,15351,13
497229,327165,10
263817,259520,22
7263,436577,1
386770,350766,10
263619,443198,50
416401,243818,50
234616,326691,100
508575,292154,3
493739,371507,50
438841,385469,10
407247,296125,200
435716,420880,100
511220,511001,4
517378,517057,5
419829,412805,120
514200,429796,10
253730,414420,255
375831,463031,5
537607,419344,100
486468,419625,5
340132,9820,23
354775,294370,20
443756,278239,100
307834,452094,200
338870,342551,50
9326,472,6
211120,281836,2
614306,303027,83
206,307834,1000
599708,443198,25
321969,302556,256
455167,449014,94
478492,243663,100
393647,401874,10
632371,501349,34
484336,493048,10
232704,270608,127
421758,2211,300
425781,414180,20
483746,462601,15
388553,243300,100
487293,407023,28
465861,387719,27
398372,441978,3
20649,364987,50
468936,287173,20
10066,356241,50
411449,411475,26
468460,329799,35
403461,454860,20
521437,421718,190
312305,307128,111
417780,296687,42
506483,492983,15
308536,326040,100
408746,516420,8
449009,308588,20
644823,18988,20
7408,516028,222
278085,503688,20
423378,336594,50
322356,265048,48
505288,421335,86
483188,482024,25
359298,428687,22
409701,289659,1000
516505,403619,10
496601,274908,700
353971,378258,25
407705,480498,501
236636,449264,25
508096,508575,205
303739,3621,18
414708,269991,5
324096,359338,100
435085,477292,5
247143,409573,456
199347,348814,10
342551,336594,100
426211,1110,1
533032,630014,1
329190,511753,213
321806,517066,10
511209,322648,10
511289,517119,10
511237,511190,10
339857,368013,42
499388,462982,736
658316,321969,12
380913,403404,50
304465,406334,771
427870,484791,83
431462,296687,50
414180,356635,25
430484,336323,100
401491,273442,150
561256,662419,30
14260,250874,50
461236,326040,70
518694,500329,15
9326,408197,5
386264,428687,20
431286,335477,50
341438,354815,120
333799,20771,100
516028,510956,10
19252,516026,400
435897,340132,22
494652,291686,100
402746,401570,11
573332,273254,80
758606,758684,83
219158,433272,25
375775,508623,20
294370,294102,50
544359,544450,18
411449,327409,40
15069,335503,50
325293,289952,1000
20118,511655,50
271878,2689,111
428740,486678,25
465748,326460,36
507822,514501,10
275020,508349,101
326271,326147,293
395489,429262,140
309242,483991,47
443478,333868,80
514564,514857,20
319003,791569,4
514790,791581,4
244852,427588,184
5229,417591,715
357596,707086,5
349513,349606,18
454819,472680,20
308536,460847,25
249958,15117,44
19328,302081,82
392370,375831,38
381018,417708,54
385716,386878,10
508836,401773,90
311387,517379,6
14396,649020,2000
16645,427818,566
274,386444,100
505268,12048,40
377127,403689,116
238853,517379,36
2341,364953,100
16098,226915,88
15792,13536,40
477292,484256,50
443198,353819,801
269129,16984,101
296315,478791,500
403619,15351,169
279037,501095,50
501095,416401,609
505620,350037,50
4253,15850,3362
449793,406668,2
618351,368021,10
475555,478830,5
407705,281996,101
14958,8743,25
422333,1407,25
16715,297799,201
247143,485585,20
346906,620208,100
259525,502617,6
377731,500253,69
528550,263574,100
283144,337090,50
533032,535036,1
430327,306666,50
340936,511278,429
517119,517057,10
486468,508096,5
312016,345765,70
481769,429796,123
14882,367850,69
234568,424658,10
323070,356635,300
256629,277342,154
14448,409409,200
507681,454591,194
423235,13640,420
498233,308426,5
430943,461283,31
409059,482024,25
474251,420797,20
544359,539840,20
454888,443520,29
407513,221578,5
410761,7910,151
232704,243818,323
280886,376591,96
15117,449793,4
514814,514872,80
351069,498059,9
278085,517767,20
507883,484791,30
372824,765738,100
765738,372824,230
187825,606644,100
408746,463031,8
534314,431880,74
292262,508950,85
12048,609972,25
369990,270138,10
441807,421374,32
15513,8152,33
477292,294370,25
478791,421000,7
685084,284679,13
512534,285462,150
396236,426698,100
500513,461943,124
508096,560607,32
289295,363268,5
295329,264001,200
580446,512036,25
617265,613382,42
8926,318447,30
419625,378275,200
379676,379809,120
263574,413367,100
506310,268977,1027
258848,274,69
400074,263619,21
511289,517119,10
339857,323063,42
7910,417063,9
345765,263574,50
424769,361425,44
378285,274,50
308220,439169,22
285106,509265,50
385699,396533,53
9326,411226,8
263574,251596,30
502972,485843,50
410419,249958,497
16617,8998,50
419042,246292,315
460229,250874,100
313980,347067,115
7910,315267,51
265153,330802,11
497257,284679,7
241763,17356,10
454591,503862,303
533932,533973,116
331131,366713,20
221578,15983,77
491723,403450,200
505633,293382,20
269856,366713,5
376134,430621,300
556123,447765,30
409931,15417,50
232704,390242,127
505878,259577,172
401785,471813,600
380764,410195,105
459348,487677,12
476707,392562,5
417421,383106,25
200989,6903,50
506156,417426,8
397629,273147,10
426430,508489,75
283144,274272,20
426152,501244,305
327687,408681,8
13404,287173,10
311387,327687,6
13536,8152,1
15513,8152,55
418383,14356,100
375775,443198,10
318213,14515,200
403619,510956,100
527771,515845,100
508094,500428,105
685084,389808,13
484541,322624,201
285462,528550,105
574038,402406,111
539,322662,500
13946,397815,69
525578,403090,50
322662,336902,80
13563,217069,4000
416304,407026,126
246905,14447,100
379835,545716,250
456735,419790,20
448505,299135,39
551112,502438,10
501087,300265,20
425913,302307,20
470886,263619,50
529469,402888,100
285998,283144,500
517119,517057,10
444067,418569,30
293102,542691,50
191327,409573,200
246905,246847,100
8070,230091,100
422708,705662,100
439610,513010,15
250874,353819,1000
309639,468256,25
19258,17360,39
16617,480795,300
312016,297066,80
411324,433590,20
452432,217025,200
559896,306237,40
445127,391793,10
427317,605092,136
191976,447048,52
419852,273442,55
290313,533785,17
414708,409852,46
564456,192379,43
8438,355351,50
533785,514200,30
498083,512175,200
435368,427280,66
468925,336226,46
383106,389824,33
446775,350652,25
506340,17855,2
607591,523679,77
461236,378422,25
509780,483892,35
15117,299110,4
15343,421962,100
15117,445127,4
417059,420117,500
13404,349286,200
315721,22761,100
373680,386770,20
349624,13404,70
214570,434908,249
362101,280104,155
327409,411475,50
9386,284679,250
311387,330020,4
382384,492737,25
385793,419521,77
373680,318447,10
426167,347868,100
460843,455199,10
344029,433599,150
318213,278239,1001
501169,439396,100
382891,9856,200
477435,411778,102
277952,490760,179
416649,380202,100
747757,322662,150
416401,403619,42
408746,234796,50
410423,206,20
270138,273442,69
509389,427973,50
477741,508096,452
9326,299891,9
576072,440334,33
250664,514912,5
486368,399855,40
405451,514200,61
245958,301657,92
333524,200375,10
423235,380532,35
511102,458274,5
310292,390598,40
274563,474251,10
13089,421335,54
461283,499431,43
508926,463031,30
245902,293382,78
542598,404923,25
541381,544359,17
381401,451675,410
319003,514790,346
427297,323070,25
243510,485714,37
308587,283144,50
570151,533404,20
306632,426430,201
514842,319003,80
443478,435356,150
417063,368013,77
223521,352465,500
14253,245124,139
308536,452094,25
511102,319055,70
318665,19105,108
274580,499969,10
12048,786599,25
12915,224429,500
344668,496983,3
224525,284616,110
15792,308587,40
459278,13874,10
263800,307834,25
481945,13086,10
544047,284679,25
504678,246292,301
424774,474094,100
431541,326040,200
310124,417418,300
500738,404491,1500
411061,500738,804
411061,448613,411
685084,420554,13
262718,511493,1
542361,443258,74
192707,395662,30
427686,427487,45
11632,340560,20
308410,285998,100
368021,12048,1000
410577,440766,50
449044,234616,2
419144,273429,1000
420576,193438,137
414004,595979,10
18766,422056,25
459213,274272,8
317799,321806,124
273442,270138,100
236210,473796,100
506857,314720,10
335852,336323,100
15696,509874,22
428687,386444,30
198900,352748,220
403013,470904,100
11244,375831,123
274563,395500,40
480036,643204,30
309715,429262,69
373972,456155,100
525262,315842,82
544462,435204,20
338874,231402,55
348501,308625,200
422233,497257,7
269515,239748,122
482249,399370,10
281290,249958,350
508645,381793,37
618597,519264,33
16651,306632,202
216583,366713,67
14454,14688,80
449096,335852,10
238032,689260,12
413352,449488,22
9270,14553,88
392480,358423,308
198783,373,50
430258,315676,10
441956,1768,250
244367,389349,100
298896,307834,226
1941,479834,7910
2441,426045,1000
21941,308827,500
382384,485965,30
308536,12626,25
269522,221519,947
499556,499252,400
15513,462810,300
502052,508575,500
269321,596708,10
269321,613980,22
292154,508575,2
555822,574110,5
245958,401773,50
245958,360245,120
685084,347364,13
674464,322662,25
21519,17114,100
427538,510007,83
255990,272572,498
242661,491527,20
199347,516028,10
247143,456675,20
291302,269991,10
385469,318447,33
370162,218142,10
343942,284291,100
237020,512280,51
4753,407760,345
501794,501801,15
14838,514036,20
281676,336323,200
377855,499388,83
309639,472330,60
15696,294858,22
432891,572375,20
311509,501366,50
13089,3863,54
308562,360450,155
334656,510022,360
468256,309639,10
340034,426065,111
502972,405239,100
282317,415872,50
3300,2163,2000
351514,1110,53
758692,753369,83
605841,617496,38
509756,426819,30
535238,264680,3
192707,353015,60
421422,420925,13
462832,387383,25
500000,437433,10
500000,449654,20
294823,421622,135
482249,17425,10
286094,315676,45
393597,499424,40
416284,297075,128
462997,424528,86
308134,283144,12
481552,474323,14
15639,15145,243
420767,491183,76
419900,378688,43
409581,8,17
513473,265577,181
281450,430767,121
491183,323032,62
14970,434345,41
366041,502923,10
427588,511181,80
4567,299247,69
18988,431880,100
420880,365209,40
318908,628308,7
16636,294100,25
430451,16645,105
387202,273147,30
423378,13474,50
188169,297799,43
312874,283144,25
482887,510956,5
411120,433599,702
512258,518242,27
509022,269991,15
397301,447318,83
242661,517379,16
269321,634910,10
316088,512534,10
724351,22761,100
508575,502452,280
616002,348569,25
9655,289295,25
410577,621286,25
645767,310124,10
288605,6622,42
314140,423383,100
209951,636310,1090
448502,407655,25
9326,1689,216
500537,368514,52
490475,507309,10
517057,511237,10
511289,517119,10
599886,433516,110
308220,403517,40
320215,613980,55
481292,329799,41
606671,380136,2
250874,420554,99
328883,19328,20
292064,376209,100
572593,250841,83
263574,375831,30
313283,261245,111
330563,289811,50
404923,648468,25
423383,500776,100
279037,502568,20
427317,274563,50
338874,433626,500
783481,758595,83
417519,475410,50
264845,263984,22
395008,409409,300
315983,262004,150
407704,500690,100
482872,403398,10
315768,293702,340
354220,360623,40
514857,508050,226
308426,309639,10
431336,409931,10
724221,380181,10
319721,468829,33
430888,443520,36
253540,430905,5
376591,408285,41
308405,380455,10
422809,12626,20
385323,429986,10
205622,10947,100
486677,265818,50
426062,319035,9
330471,470487,98
481970,20118,25
507509,16629,112
287806,598216,20
234616,445336,100
248339,323251,50
385038,462351,50
556123,281808,42
360982,474917,112
293760,283144,33
296687,323070,250
365209,308536,50
293760,419852,19
423378,273442,50
238853,695163,18
427275,494489,312
188169,14937,97
346080,296315,80
261754,374386,45
535238,368021,20
406881,246847,60
286367,500738,1510
478716,277952,100
461236,445127,20
417299,390336,50
416649,488610,300
405729,263574,100
502718,347285,50
645767,1110,2
511190,517387,10
320215,8152,54
336873,352374,25
228993,289783,215
325289,389378,67
554228,488178,30
415748,371106,62
333414,309715,55
193345,362162,30
502718,306911,45
291877,461286,100
228149,250329,20
403013,411192,25
335383,327678,25
9326,306668,6
490949,479071,2
482887,508756,500
411475,302556,44
753369,758692,83
401491,302556,100
436037,339205,234
464221,436577,5
385627,372581,100
508763,373934,35
395500,294102,50
473070,474800,55
382998,308813,6
430905,257756,70
330471,261625,100
376591,354156,56
428000,465823,100
355110,500000,50
471502,419722,10
428687,500144,200
419790,377111,10
323032,411286,60
343622,502524,10
14586,444785,24
255648,300352,145
294666,6945,145
348611,308536,6
302319,428687,100
391782,483892,16
322662,397392,70
234327,8152,4
188169,15683,97
312874,482024,25
200530,296315,50
279037,224429,100
618597,519264,50
378275,246292,15
413828,658316,16
516028,408838,17
484541,424178,250
479174,247143,14
281996,407705,100
439396,501169,105
8151,355271,100
423235,502052,5
407705,428666,301
502718,245958,101
14447,14532,30
236581,375727,30
425264,422759,198
320310,209951,100
193135,403858,7
443225,337090,5
263574,408746,50
512036,404757,25
307568,248172,333
14838,657123,20
9326,11037,16
616002,509022,15
378055,354393,15
221216,397668,100
421110,493964,41
501896,501701,30
401491,323070,200
516028,463223,25
11782,401818,200
294370,464079,10
7626,406560,50
573993,13640,33
544359,541381,14
308337,436407,100
373258,203666,250
375831,523720,50
216993,434411,21
401785,347,63
238032,511759,13
14253,403090,100
336567,326271,50
9270,296207,88
10095,369048,50
287806,512446,20
366431,296148,8
506156,417426,5
505268,501383,14
454819,420880,20
420880,435716,50
283144,4567,100
365209,249332,50
408746,518129,8
10947,14199,196
291511,434908,130
316088,478311,5
388505,422513,501
500619,508188,42
419790,417851,15
4973,437263,1112
7408,299388,222
500428,445864,505
286367,382579,350
685084,306668,13
539179,6730,10
466111,497116,25
413010,423457,100
951,497352,400
350228,315697,5
453804,411120,100
443198,511674,8
443198,279037,8
18745,500329,30
241763,236636,50
394357,7559,10
212085,333414,50
416401,284679,22
404757,426744,310
493739,417780,50
500429,419861,510
509862,393364,100
386000,333517,84
612367,460843,50
511220,511001,90
511201,517378,74
517119,517057,10
392562,323021,27
263574,300265,55
309639,247018,25
724513,415748,50
316088,405729,10
501087,511317,362
511753,543988,500
226690,516028,100
478492,294370,100
432062,406493,113
285604,9583,5
329423,375624,101
381793,277313,170
19250,381565,81
434222,297057,20
425675,433035,51
544450,541465,15
342067,294823,135
379581,419722,30
376591,455048,32
385469,285998,30
232704,307224,127
637791,2433,13
297681,14454,33
201035,352374,75
238032,535736,13
336594,543177,47
430904,355677,50
375831,368412,20
425901,315697,5
343622,274580,10
397629,311207,10
451916,191503,25
430258,419852,10
408746,444088,8
422708,788794,500
318447,451916,50
200375,434908,404
296687,14982,100
387202,228837,30
293760,452094,50
387202,415258,30
308536,12626,25
